log10(Pd),log10(Pv),log10(Pa),log10(IV2),log10(CAV),log10(Ia),log10(AAS),log10(AVS),log10(ADS),log10(tc),log10(Tva),log10(TP),log10(Epi),M
-3.253537643,-2.333660765,-1.192345635,-4.122485575,-0.74103809,-4.486378392,1.26033166,0.102583125,0.52294614,-0.269614093,-0.343135262,-3.523151736,1.542799533,3.5
-3.122142904,-2.441558194,-1.361052459,-4.410217345,-0.854503354,-4.800370375,1.146867833,-0.029274485,0.788843023,-0.404609501,-0.282325866,-3.526752404,1.541216454,3.8
-2.805576425,-1.931431773,-0.746014963,-3.383475569,-0.442480862,-3.955353247,1.558029283,0.476110282,0.912377414,-0.269929281,-0.387236942,-3.075505706,1.552960758,3.9
-3.110539162,-2.400498395,-1.258195164,-4.241057746,-0.753664231,-4.608057833,1.24685581,0.104888385,0.681600571,-0.172582489,-0.344123362,-3.28312165,1.614541298,3.6
-2.268964453,-1.328037022,-0.282782094,-2.633797121,0.108615386,-3.249292756,2.109004936,1.012555271,1.14058936,-0.051507872,-0.24707506,-2.320472325,1.744154903,4.6
-2.960756707,-2.015095166,-0.931705294,-4.066280631,-0.543268615,-4.566504414,1.45685834,0.295253809,0.559346969,-0.164352259,-0.285210004,-3.125108967,1.742780694,3.9
-2.868981889,-2.015231936,-0.94842482,-3.511274336,-0.515436702,-4.125681005,1.485320734,0.381643597,0.824992112,-0.279078955,-0.268627247,-3.148060845,1.52796806,4.2
-2.558248614,-2.063043346,-0.752786841,-3.815726176,-0.40508449,-4.233842212,1.595230878,0.426180333,0.86478019,-0.158239199,-0.512076636,-2.716487812,1.921572359,4.6
-2.571864656,-1.833117918,-0.663724891,-3.265404569,-0.258682255,-3.95374526,1.741764187,0.70337856,0.835051601,-0.027860124,-0.371213158,-2.59972478,1.880803539,4.6
-2.525523417,-1.749311642,-0.783236536,-3.025027222,-0.180950306,-3.616065188,1.819530112,0.715240953,1.091512191,-0.153636739,-0.167895237,-2.679160156,1.45868742,3.5
-2.355338901,-1.5656612,-0.392513509,-2.224793377,0.233190807,-2.837959334,2.23362717,1.153237503,1.405554047,-0.058409674,-0.374967823,-2.413748575,1.403505297,4.4
-2.646365894,-1.895157659,-0.949296439,-3.351531745,-0.264090656,-3.812445961,1.736397274,0.557869488,0.920488898,-0.03185308,-0.147681352,-2.678218974,1.463069459,3.4
-2.243733443,-1.378503811,-0.392763432,-2.324262771,0.20607774,-2.831235445,2.206465328,1.066004457,1.343168228,-0.051274103,-0.187560511,-2.295007546,1.477773436,3.9
-2.892318026,-1.975858019,-0.767541183,-3.205990426,-0.226492072,-3.547979512,1.773826519,0.54503365,1.114319193,-0.659843386,-0.410136968,-3.552161411,1.483196685,3.6
-2.225900636,-1.712984059,-0.739622268,-2.959284736,-0.248893519,-3.964308619,1.752010645,0.842023234,1.05355453,0.029308656,-0.175181922,-2.19659198,1.649680279,4.6
-3.127389455,-2.477829277,-1.299527839,-4.330043579,-0.699948888,-4.826776386,1.30082053,0.127688973,0.584043053,-0.188406282,-0.38012157,-3.315795737,1.655680312,3.6
-2.958468811,-2.539724696,-1.451712501,-4.899139623,-1.155657324,-5.530319171,0.844937235,-0.192362847,0.191711529,0.138519182,-0.289832327,-2.819949629,1.515356787,3.5
-1.394112001,-0.532736701,0.465805138,-0.295068066,1.24532871,-0.951921085,3.246369377,2.156198142,2.375431271,-0.150635365,-0.200361971,-1.544747366,1.139754525,4.6
-2.124661009,-1.255823657,-0.135757751,-1.68446238,0.64193784,-2.128132341,2.642507692,1.459837264,1.808212072,-0.364758391,-0.321886037,-2.4894194,1.129067841,3.9
-2.390416127,-1.413171099,-0.194204423,-2.352418756,0.32597883,-2.774886628,2.326234401,1.140129298,1.544686602,-0.253377065,-0.420786807,-2.643793191,1.543651272,4.2
-3.668603629,-3.238796386,-1.953985525,-5.377305114,-1.136680461,-5.741289156,0.86432746,-0.334906879,0.353465164,-0.581805051,-0.486630993,-4.25040868,2.042133786,3.5
-2.71574387,-1.969945279,-0.771170472,-3.247294179,-0.112456338,-3.688131757,1.887835716,0.714165624,0.903952706,-0.098681252,-0.400594939,-2.814425121,1.828542451,4.6
-1.699585567,-1.244520414,-0.194792916,-2.162721523,0.215994375,-2.950964936,2.217076173,1.232078434,1.340097965,0.180250498,-0.25154763,-1.519335069,1.446670092,4.9
-2.29701169,-1.429275779,-0.263460346,-2.753622732,0.077367729,-3.271506021,2.077611852,0.935881158,1.079008638,-0.217786722,-0.367635565,-2.514798412,1.673462931,4.6
-2.388631061,-1.616874238,-0.385391702,-2.762735577,-0.004996114,-3.344890008,1.995525248,0.8875395,1.023024106,-0.073273211,-0.433302668,-2.461904272,1.522148582,4.1
-3.079427378,-2.262327321,-1.115729555,-4.017525279,-0.553123421,-4.553901264,1.447173165,0.3185796,0.646921447,-0.386323116,-0.348417897,-3.465750494,1.949727994,4.4
-3.181718454,-2.613581079,-1.46522415,-4.772495668,-0.933422805,-5.343875322,1.067142797,-0.034585211,0.383742346,-0.163872652,-0.350177061,-3.345591106,1.937151559,4.2
-2.718019919,-1.706887695,-0.534342788,-3.517935061,-0.247725546,-3.761150091,1.752632223,0.479493449,0.965537753,-0.438469695,-0.374365039,-3.156489614,1.436159412,3.4
-1.461501021,-1.257611626,-0.603386236,-2.043039028,-0.293167982,-3.863970251,1.707579029,1.228655038,1.247421529,0.645856996,0.143954478,-0.815644025,2.503770265,7
-3.108030938,-2.401112765,-1.137920462,-4.054831621,-0.581287765,-4.376559534,1.419075159,0.180965043,0.747492434,-0.447783924,-0.465012435,-3.555814862,1.367383122,3
-1.681222583,-0.764148696,0.327354989,-1.329144319,0.753073588,-1.698207689,2.753977676,1.580779519,1.862001851,-0.207411457,-0.293323817,-1.88863404,1.457662143,4.9
-3.107987088,-2.055656962,-0.861547755,-3.864460156,-0.517505666,-4.12684966,1.483440765,0.227162983,0.68955738,-0.373796812,-0.395929339,-3.4817839,1.48684408,3
-2.204760281,-1.177990257,-0.020745162,-2.429275508,0.228118929,-2.796314682,2.228222111,1.027858848,1.380743881,-0.334121981,-0.359065226,-2.538882262,1.332155813,3.8
-2.591816358,-1.574376972,-0.421897285,-2.479690405,0.253785632,-2.757975781,2.254243459,1.017272932,1.425818525,-0.416691772,-0.354299818,-3.00850813,1.41599507,3.7
-3.160891007,-2.343478808,-0.997008728,-3.773580806,-0.456816971,-4.09293942,1.543506899,0.314985251,0.929337157,-0.65629572,-0.548290212,-3.817186727,1.380315377,3
-2.785607792,-1.769157596,-0.535572123,-3.313788937,-0.256792564,-3.560870991,1.744060972,0.473901764,1.0973581,-0.499910293,-0.435405605,-3.285518086,1.487961491,3.6
-1.398373248,-0.484422233,0.654869694,-0.654380763,0.995223297,-1.260822251,2.995481583,1.899113518,2.17994385,-0.231177914,-0.341112059,-1.629551163,1.357204295,4.6
-2.326296105,-1.205086261,-0.045607305,-2.58626714,0.133869652,-2.948919975,2.134147733,0.922883882,1.229685668,-0.311127395,-0.361299087,-2.6374235,1.361661723,3.6
-2.229720456,-1.276530484,-0.107180809,-2.202195259,0.297375284,-2.609089582,2.297797807,1.109644619,1.506998435,-0.416983184,-0.371169806,-2.64670364,1.391540627,3.9
-2.511526639,-1.615181179,-0.477097265,-2.688571891,0.069359394,-3.126358825,2.069855675,0.91785713,1.399355547,-0.364239098,-0.339904046,-2.875765737,1.446855455,4.1
-2.299792974,-1.201985719,-0.066070504,-2.302299553,0.315354547,-2.774355653,2.316362428,1.155229486,1.471362194,-0.3734973,-0.337735346,-2.673290274,1.454270807,4.1
-3.439611201,-2.54746762,-1.361386928,-4.581616922,-0.682448558,-4.839733722,1.317691783,0.054137071,0.565178444,-0.525499122,-0.387900824,-3.965110323,1.988285446,4
-2.324114721,-1.386762017,-0.135798168,-2.436449731,0.174053267,-2.793481916,2.174741599,0.96391515,1.544386728,-0.550375273,-0.45278398,-2.874489995,1.398572477,3.8
-2.997573482,-2.183413408,-1.085254537,-4.018362988,-0.565842041,-4.399557117,1.434956228,0.232733546,0.778961305,-0.198141211,-0.299979002,-3.195714693,1.335380641,3
-3.285779434,-2.658450793,-1.428573261,-4.80988864,-0.931708637,-5.09045813,1.069088487,-0.165105306,0.623693402,-0.473480038,-0.431697663,-3.759259472,1.429398237,3.1
-2.047970862,-1.263455566,-0.236068452,-1.946073128,0.374614942,-2.713620432,2.374972857,1.371769198,1.458603434,-0.057192371,-0.229207246,-2.105163233,1.400760395,4.4
-2.750018423,-1.865883472,-0.613968295,-3.256009529,-0.221241019,-3.609946638,1.779604789,0.571054916,1.151689801,-0.637454836,-0.453735308,-3.387473259,1.396989994,3.4
-2.446138068,-1.561677479,-0.372479908,-2.660517532,0.15572199,-2.881384416,2.156343623,0.878690119,1.664890978,-0.737896317,-0.391017703,-3.184034385,1.389688858,3.9
-2.530607386,-1.680776192,-0.434796165,-2.597045289,0.150431397,-3.13379561,2.150746979,1.023927578,1.497614924,-0.353823745,-0.447800159,-2.884431131,1.251499838,3.5
-2.616077442,-1.735856004,-0.644127287,-3.155099177,-0.120919453,-3.725141412,1.87937201,0.769238235,0.960925387,-0.183788242,-0.293548848,-2.799865684,1.780365708,4.6
-2.964429015,-2.18144096,-0.906654391,-4.197836373,-0.752507374,-4.50816541,1.248173244,0.074613547,0.824531677,-0.238880285,-0.476606701,-3.2033093,1.568043582,3.4
-2.130175274,-1.174842137,0.120788096,-1.826661366,0.558759221,-2.127558834,2.559390027,1.316250093,1.939769982,-0.662130271,-0.497450365,-2.792305545,1.394082653,4.2
-2.377096681,-1.778176237,-0.725920628,-2.995829226,-0.269134315,-3.976423593,1.731363028,0.830834645,0.907081975,0.134074789,-0.254075741,-2.243021891,1.886518081,5.2
-1.989719596,-1.416428904,-0.302887666,-2.168810113,0.255566554,-2.727686724,2.255893449,1.196079527,1.416241007,0.081580511,-0.315361369,-1.908139085,1.48192392,4.9
-2.640809614,-1.982658348,-0.825800639,-3.075435682,-0.137328243,-3.620627077,1.862966276,0.735247877,1.115860068,-0.223777343,-0.358677841,-2.864586957,1.079208243,3.8
-2.872941378,-1.976201368,-0.777113451,-3.333154025,-0.372792251,-3.794197829,1.627701689,0.511168707,0.866493937,-0.345865402,-0.400908049,-3.218806779,1.456558845,3.7
-1.566778395,-0.835969862,0.362870057,-0.88144566,1.056760679,-1.307267453,3.057055552,1.880471605,2.179977486,-0.25948269,-0.40066005,-1.826261084,1.085322581,4.6
-2.876680934,-2.027651692,-0.821964981,-3.416234668,-0.221094576,-3.848906073,1.77940917,0.584942934,1.023169834,-0.452549,-0.407506843,-3.329229934,1.089825809,3.6
-2.746562575,-1.921346746,-0.687777991,-3.244983599,-0.14655193,-3.683958623,1.853827835,0.668437045,0.898771317,-0.268431569,-0.435388887,-3.014994144,1.085322581,3.4
-2.240451749,-1.332421918,-0.11465859,-2.040664417,0.412521808,-2.472686363,2.412661364,1.242625365,1.492401474,-0.334842791,-0.41958346,-2.57529454,1.136011428,3.9
-3.134014763,-2.566498526,-1.343779963,-4.452957111,-0.870456469,-4.820024738,1.130142427,-0.069344506,0.508599833,-0.236442008,-0.424538695,-3.370456771,1.616842815,3.5
-3.18042854,-2.396107644,-1.169537993,-4.453415305,-0.784321623,-4.764066617,1.216075131,-0.021375193,0.779356834,-0.271902972,-0.428389783,-3.452331512,1.321552929,3
-2.316348643,-1.6964666,-0.542153185,-2.966084513,-0.170778496,-3.538347925,1.829616166,0.775580385,0.971666534,0.012810861,-0.356133546,-2.303537781,1.421475936,4.1
-2.513367708,-1.624495514,-0.400730094,-2.510556536,0.066270574,-3.058427724,2.066856561,0.955737417,1.092529024,-0.201124065,-0.425585552,-2.714491773,1.432944695,4.1
-3.085155337,-2.212431722,-1.022420263,-3.859313585,-0.610767938,-4.18665891,1.389614264,0.18132874,0.648442737,-0.354548548,-0.391831591,-3.439703885,1.618185529,3.8
-2.777966531,-1.983282221,-0.790150237,-3.542404872,-0.256057547,-3.929088673,1.744559623,0.540701265,1.003339072,-0.327791917,-0.394952116,-3.105758448,1.3120729,3.8
-3.195117723,-2.646188437,-1.526813161,-4.828791305,-0.928076811,-5.202188819,1.07226452,-0.144571807,0.64922957,-0.025125304,-0.321195408,-3.220243027,1.264628836,3.1
-2.903835098,-2.172613213,-0.938374278,-3.88537842,-0.597765429,-4.124311441,1.403630593,0.147387027,0.799871312,-0.504020814,-0.436059067,-3.407855911,1.603623534,3.9
-2.908706911,-2.059679091,-0.751523985,-3.721696786,-0.499058447,-3.945837487,1.502474739,0.253093333,0.896143299,-0.534288955,-0.509975238,-3.442995866,1.617358189,4.2
-2.023130574,-1.471602043,-0.560647958,-2.634712543,-0.14531081,-3.743627543,1.8551708,1.015112001,1.068686698,0.214467619,-0.112774217,-1.808662955,1.916183919,5.2
-0.731020581,-0.049052756,1.063534648,0.680244519,1.706570729,0.052335888,3.706741242,2.64101717,2.750119804,0.076096423,-0.314407535,-0.654924158,0.752428016,4.9
-2.350316639,-1.391097914,-0.290325306,-2.085432719,0.427888452,-2.521827689,2.428146148,1.26349463,1.519520218,-0.307209132,-0.302592739,-2.657525771,0.737067052,3
-2.80311762,-1.779750487,-0.570197662,-2.78029353,0.074072782,-3.277624885,2.074409691,0.924841138,1.140853367,-0.299301199,-0.411372957,-3.102418819,0.836171928,3
-1.485844048,-0.682423246,0.533143736,-0.719823789,1.085143899,-1.197075213,3.085620947,1.934022978,2.202166113,-0.327796202,-0.417387114,-1.813640251,0.837038266,3.7
-2.713210973,-1.840949643,-0.636571711,-2.767413379,0.09703156,-3.186341909,2.097269612,0.911489095,1.256586471,-0.389201996,-0.406198063,-3.102412969,1.09510789,3.6
-1.952287549,-1.074886856,-0.083147138,-1.737170456,0.457442753,-2.416805371,2.45808647,1.41222693,1.575149067,0.040836153,-0.193559849,-1.911451396,1.425245609,4.6
-2.907478372,-2.193961575,-0.901986911,-3.785092554,-0.395632982,-4.186633525,1.605120961,0.405078127,0.818641962,-0.260210279,-0.493794796,-3.167688651,1.239031131,3.1
-1.800154424,-1.074910822,-0.046581652,-1.601187634,0.499297847,-2.346138695,2.500007213,1.489483351,1.729986065,-0.051014159,-0.230149302,-1.851168583,1.055753254,4.1
-1.631070336,-0.683788264,0.382619482,-0.989093409,0.907655964,-1.655555791,2.90807666,1.835290597,1.928451575,-0.055080253,-0.268227878,-1.686150589,1.032057388,4.1
-3.269743627,-2.58529397,-1.539482187,-4.831551797,-0.982280213,-5.408855585,1.018211498,-0.068860395,0.205799576,-0.011779373,-0.247631915,-3.281523,1.7247916,3.8
-2.309333562,-1.420168727,-0.288948662,-2.169702383,0.373421173,-2.560734353,2.373919614,1.189161831,1.431646947,-0.279172667,-0.333040196,-2.588506229,1.239561363,3.8
-2.424304425,-1.578212742,-0.388152529,-2.630902697,0.135434171,-3.129014817,2.135732082,0.991180909,1.296455426,-0.31832906,-0.391880345,-2.742633485,0.988690538,3.3
-3.017632677,-1.987656397,-0.838110299,-3.910649676,-0.377568731,-4.249253656,1.622495238,0.398168545,0.685359325,-0.328214847,-0.35136623,-3.345847524,1.675557893,4.2
-2.239917617,-1.53029676,-0.526120281,-2.770208296,-0.070394203,-3.592212061,1.930010792,0.939231304,1.019942893,0.149727648,-0.205996611,-2.090189969,1.848905464,5.2
-2.104130396,-1.289363572,-0.104202553,-1.775110811,0.658624136,-2.131136259,2.658871661,1.450414538,1.818851129,-0.4386356,-0.386981151,-2.542765996,0.528695553,3.4
-2.525246608,-1.728112253,-0.438222556,-2.259648672,0.317182025,-2.52405633,2.317332575,1.061327925,1.489173965,-0.645116544,-0.491709829,-3.170363151,0.858712227,3
