log10(IA-C),log10(B),log10(C),log10(CAV-C),log10(IV2-C),log10(Pd),log10(Pv),log10(Pa),log10(AAS-C),log10(AVS-C),log10(ADS-C),log10(tc),log10(TP),log10(Tva),Epi/km
-5.744169295,-1.082379651,-2.257628894,-1.163777642,-7.623425909,-7.062767054,-3.07401661,-1.02361828,0.492236799,-3.089506956,-5.590795924,-0.296790863,-2.702771086,-0.046387493,26.60658388
-6.665987637,-0.983173042,-2.917781089,-1.652427662,-8.490791358,-7.214208458,-3.222207009,-1.091661631,0.089036555,-3.569035818,-6.070733657,-0.500282405,-3.391133121,-0.469506433,30.33273232
-5.703085749,-0.927415821,-2.309530007,-1.179139369,-7.390786131,-6.990192108,-2.942818943,-0.851501208,0.526716857,-3.113258,-5.599457991,-0.174581019,-1.810088144,-0.262669258,29.88733731
-6.400982886,-1.298939253,-1.930288231,-1.487274297,-8.235924269,-7.307561772,-3.332866136,-1.328835342,0.241784221,-3.412819307,-5.92309272,-0.450444411,-3.021233111,-0.331391437,29.69294555
-7.412041949,-1.871539476,-2.789849658,-2.037569009,-8.900656435,-7.859529362,-3.872574771,-1.79340188,-0.274085034,-3.931683362,-6.434512283,-0.561840284,-3.753317877,-0.452752695,28.4625764
-5.665772487,-1.131125551,-2.335999351,-1.19544571,-7.119106017,-6.973934984,-2.871999955,-0.826215578,0.490956059,-3.116051829,-5.584974251,-0.480474739,-2.599976412,-0.309556671,29.01014122
-7.50558647,-1.801878783,-2.946130425,-2.162333091,-8.650402714,-7.805718702,-3.548242991,-1.758283353,-0.431474698,-4.051709073,-6.516778562,-0.322521305,-2.687134572,-0.4284506,80.47682345
-7.161598195,-2.039970049,-2.200980619,-1.943791365,-8.794370142,-7.712785489,-3.749437431,-1.611518941,-0.135369537,-3.769324765,-6.330005791,-0.093291366,-3.429697637,-0.358234162,35.59955141
-6.599194449,-1.735479813,-1.978986605,-1.586367607,-8.121761397,-7.41956359,-3.507800606,-1.493176875,0.297869172,-3.37477521,-5.971629033,-0.291054736,-3.130675296,-0.327210107,35.30640475
-6.875937137,-1.495220752,-2.605380428,-1.77913003,-8.613338253,-7.448161899,-3.512350378,-1.477784419,0.074646555,-3.535350259,-6.133490599,-0.277831754,-3.531369397,-0.343135262,34.89791922
-6.63922997,-1.79766093,-2.586450604,-1.665428389,-8.151328851,-7.410225506,-3.580163592,-1.394074642,0.119849765,-3.469097845,-6.033826056,-0.449415002,-3.416621764,-0.461253526,34.77094176
-6.401776351,-1.553240103,-1.921862022,-1.489668086,-8.010289873,-7.346689819,-3.395681183,-1.321208249,0.367577408,-3.350038371,-5.902710784,-0.337631056,-3.143207481,-0.378290187,35.72405568
-6.751875216,-1.271690724,-2.512761444,-1.704753627,-8.541575891,-7.328771466,-3.313845639,-1.270063242,0.053579703,-3.573192609,-6.101214374,-0.232707031,-3.343246192,-0.374906874,41.16624909
-6.397477384,-1.262867595,-2.181135933,-1.510839057,-7.963403603,-7.127122155,-3.231036577,-1.089426043,0.30489908,-3.37759644,-5.926644392,-0.133209432,-2.190750763,-0.305370028,55.48235705
-7.226911857,-1.788206767,-2.824640791,-1.942016427,-8.684777557,-7.626385763,-3.69573121,-1.627689875,-0.147936576,-3.756549436,-6.331849209,-0.325768162,-3.217014627,-0.377620287,55.30707541
-6.23291746,-1.553207195,-1.973225442,-1.400561154,-8.046659438,-7.184242183,-3.2731899,-1.161902896,0.390699165,-3.241645311,-5.816506555,-0.104555025,-2.670045453,-0.268627247,33.72625037
-8.29385299,-2.258275959,-3.083949087,-2.440506771,-9.520268672,-8.251633231,-4.189586967,-2.18912747,-0.656960256,-4.332664488,-6.852517552,-0.109857968,-2.668106582,-0.512076636,83.47806214
-7.831981304,-2.042744952,-2.973078068,-2.207946881,-9.310920309,-7.987990217,-3.972426635,-1.943924166,-0.417670029,-4.123693821,-6.625610766,0.121553618,-2.297779561,-0.371213158,75.99824077
-6.596081517,-1.209838149,-2.457587351,-1.626973405,-8.150767785,-7.312238013,-3.302899706,-1.275273034,0.188443434,-3.378471886,-5.976487227,-0.15595025,-2.681473668,-0.167895237,28.75328173
-7.211522157,-1.930579713,-3.123985643,-1.98799858,-8.367059569,-7.804453978,-3.797246756,-1.803951676,-0.289318748,-3.748127457,-6.302074836,-0.072694589,-2.311623349,-0.284431926,25.32242522
-7.211197555,-1.859272447,-2.459322829,-1.879833705,-8.815747999,-7.704452449,-3.838498062,-1.747179929,-0.022513716,-3.583269149,-6.231567006,-0.054884092,-2.701249986,-0.147681352,29.04487148
-6.382571581,-1.565730164,-2.020902574,-1.496183183,-7.966835523,-7.287117754,-3.324587941,-1.236033404,0.316278755,-3.242979632,-5.854317879,-0.044124782,-2.287858225,-0.187560511,30.04508492
-7.095218838,-2.002638222,-2.540190298,-1.951189116,-8.230748465,-7.817334721,-3.732716247,-1.792893985,-0.161487064,-3.777026176,-6.281136464,-0.609784012,-3.502102038,-0.410136968,30.42262508
