log10(Pd),log10(Pv),log10(Pa),log10(IV2),log10(CAV),log10(Ia),log10(AAS),log10(AVS),log10(ADS),log10(Epi),log10(PGV)
-2.847094351,-1.221543919,-0.801079423,-2.389658447,-0.221701735,-3.512325861,1.778643123,0.988977289,-0.172226092,1.384459972,-1.000883159
-2.977846198,-1.339541287,-0.883893855,-2.793178637,-0.398737932,-3.822082755,1.601901495,0.797006436,-0.494260556,1.378897739,-1.117702245
-2.606968021,-1.580105735,-0.592398908,-2.78071482,-0.127566066,-3.621306516,1.873461361,0.905078596,-0.006267161,1.550118719,-0.585881801
-2.691125835,-1.207771438,-0.741460881,-1.86879589,0.154019231,-2.670734021,2.156274344,1.215821562,0.037219626,1.424989117,-0.691934884
-2.919756344,-1.294446779,-0.905790152,-2.735835163,-0.206547055,-3.725380773,1.794506001,0.899499442,-0.374510669,1.481911533,-1.175638973
-1.776812311,-0.708508489,0.228395084,-0.427747151,0.994321784,-1.085892633,2.995041256,1.931089664,0.826281629,1.475487225,0.080761351
-2.5707887,-1.291983108,-0.516075129,-1.87014097,0.301539314,-2.532061456,2.302066085,1.252718622,0.035900678,1.472653282,-0.676955847
-3.191477593,-1.740550031,-1.240454897,-3.093271326,-0.637560839,-4.310292702,1.362638813,0.596099764,-0.745974163,1.454274209,-1.325524836
-2.44213042,-0.868964088,-0.394425937,-1.354830011,0.335618609,-2.389643991,2.336673341,1.460111958,0.173540882,1.462549843,-0.311226142
-2.364613267,-0.915332498,-0.238651387,-2.215643067,-0.075286756,-3.513631975,1.925072267,1.174064446,-0.162153256,1.905670826,-0.930132514
-3.336406272,-2.127851162,-1.802575523,-4.422813172,-1.396525661,-6.205414296,0.604109262,0.083527716,-0.694137236,1.551444525,-1.255915092
-2.988440032,-1.78970466,-1.133708673,-3.493280213,-0.871957984,-5.120055096,1.129605348,0.554218109,-0.438921566,1.547853496,-0.88367145
