log10(Pd),log10(Pv),log10(Pa),log10(IV2),log10(CAV),log10(Ia),log10(AAS),log10(AVS),log10(ADS),log10(Epi),log10(PGA)
-2.119501672,-0.868964088,1.052923975,-1.262218643,1.284671641,-0.701141648,3.284875053,1.581462676,0.329947831,1.462549843,1.330007438
-2.364613267,-0.915332498,0.752293775,-2.172037456,0.835368878,-1.751882151,2.835645257,1.23701665,-0.034232886,1.905670826,0.660125845
-3.336406272,-1.908312828,0.065613173,-3.458938712,0.248051026,-2.60968023,2.248889611,0.42480942,-0.588074276,1.551444525,0.584679122
-2.83962056,-1.519365412,0.258273779,-2.438739932,0.697450414,-1.700155664,2.698135433,0.930574451,-0.195212841,1.547853496,0.909779113
-3.253537643,-1.875271372,0.018013361,-3.312819363,0.359857314,-2.530888,2.361237784,0.52294614,-0.500972094,1.542799533,0.498591261
-3.122142904,-1.630705296,0.245822189,-2.761395066,0.620671724,-1.891518696,2.621397027,0.788843023,-0.493226681,1.541216454,0.85718482
-2.805576425,-1.5464889,0.328876544,-2.515339195,0.711687237,-1.728540258,2.713175022,0.912377414,-0.338271784,1.552960758,0.815429053
-3.110539162,-1.761243293,0.354895043,-3.1379965,0.480820164,-2.413561129,2.481970981,0.681600571,-0.456720597,1.614541298,0.546997307
-2.268964453,-1.221276814,0.346260071,-2.398246841,0.704328355,-2.074694508,2.704905319,1.14058936,0.24350438,1.744154903,1.633652586
-2.960756707,-1.891963501,-0.069123299,-3.578208982,0.267351334,-2.936388087,2.2675677,0.559346969,-0.525664406,1.742780694,1.225873268
-2.868981889,-1.692023385,0.299044226,-2.764307917,0.672938289,-1.928318474,2.67405814,0.824992112,-0.38038509,1.52796806,0.666392629
-2.558248614,-1.530179393,-0.03656335,-2.934201978,0.418565825,-2.623252056,2.41887441,0.86478019,-0.198419786,1.921572359,0.640869978
-2.571864656,-1.558923276,-0.076170473,-3.006233737,0.356656536,-2.758068502,2.356900789,0.835051601,0.010521601,1.880803539,0.904161516
